國文,英文,數學,社會,自然
7,11,7,13,11
7,10,13,11,15
13,9,11,9,15
9,10,8,12,13
9,11,6,12,7
7,8,15,7,6
8,8,10,11,11
12,9,10,9,6
10,8,13,6,9
10,8,10,9,12
7,7,7,7,10
14,8,8,8,6
8,10,8,13,7
9,15,15,8,7
7,10,9,6,13
10,14,13,9,9
13,15,11,15,6
8,14,8,6,11
8,12,15,11,11
13,11,9,7,15
15,8,8,14,14
13,10,11,7,8
8,10,15,6,7
13,10,15,13,9
12,10,13,7,14
7,8,12,13,7
8,9,11,6,11
14,11,15,6,9
14,10,10,14,13
15,9,10,9,11
6,9,12,14,15
14,8,7,9,6
12,15,12,15,15
8,13,14,7,10
13,12,14,13,13
13,11,10,10,12
7,12,7,6,9
6,6,10,8,13
14,13,14,11,14
13,12,14,13,8
13,13,11,14,14
9,13,11,7,15
10,6,9,14,13
12,15,14,12,7
6,9,9,11,7
13,11,14,9,15
7,11,15,13,14
15,13,12,12,15
14,10,15,11,13
6,12,8,13,10
13,14,9,12,12
8,13,8,14,8
15,14,13,12,14
7,14,15,9,10
12,15,11,14,7
9,7,12,9,11
9,12,6,13,10
15,9,6,9,12
12,6,9,9,7
12,14,10,15,8
6,12,13,14,15
14,6,11,12,10
13,14,6,8,10
6,12,8,8,12
10,13,6,8,10
13,15,13,8,13
11,14,8,8,7
15,11,6,12,9
13,9,6,7,13
15,9,15,14,6
13,13,14,7,14
14,6,6,6,9
15,8,15,12,8
10,8,15,14,6
8,13,6,6,8
14,12,8,14,12
15,7,14,9,9
15,9,14,10,8
8,12,14,13,11
12,12,12,12,15
13,15,6,14,6
8,11,11,15,8
7,12,11,8,14
10,7,12,8,10
9,6,7,15,12
9,13,7,14,14
8,15,8,11,13
7,13,13,11,6
7,10,12,12,14
14,11,12,6,15
10,7,7,14,12
10,9,14,9,13
15,14,10,11,12
10,9,6,15,7
12,10,10,10,7
9,15,12,15,12
11,8,8,8,12
13,6,9,7,14
15,11,15,15,13
7,9,11,6,11
